24;71;65;03;54;43;71;10;
05;34;45;40;12;36;38;11;
71;88;66;83;71;38;27;12;
08;67;58;14;19;21;20;13;
46;35;17;65;99;63;79;14;
93;69;55;30;61;93;66;15;
61;55;12;75;63;84;14;16;
04;13;66;85;75;46;05;17;
93;90;65;54;88;19;82;18;
13;53;34;29;98;54;22;19;
63;02;26;12;63;54;73;20;
21;01;68;87;19;33;87;22;
33;21;39;45;40;60;80;23;
49;58;01;31;20;98;78;24;
87;81;16;18;21;47;66;25;
14;26;10;04;75;16;61;26;
55;63;73;23;48;44;04;27;
84;11;01;96;76;61;98;28;
34;44;11;20;57;59;26;29;
42;61;35;39;19;41;03;30;
18;97;03;31;69;28;07;32;
85;72;43;14;52;16;96;33;
20;68;66;29;86;47;81;34;
44;28;96;02;68;94;15;35;
50;62;64;62;46;11;32;36;
77;23;93;59;26;78;01;37;
68;86;98;14;84;26;63;38;
07;90;30;81;61;51;76;39;
13;19;04;35;48;50;38;40;
09;24;26;03;53;08;27;41;
81;92;92;56;54;59;24;42;
76;17;28;33;25;98;83;43;
93;31;60;89;45;42;35;44;
73;16;26;66;52;24;39;45;
49;82;22;48;86;84;80;46;
40;95;30;74;71;30;85;47;
10;74;95;79;82;84;60;63;
20;01;87;03;71;88;48;64;
83;80;09;99;77;17;57;65;
43;28;74;07;84;64;16;80;
